no,name,team,alert,numOfGame,AlertPerGame
1,김성일,안양LG,7,15,0.47
2,강준호,안양LG,6,13,0.46
2,마시엘,전남,6,17,0.35
4,이기범,천안,5,14,0.36
4,김봉현,전북,5,16,0.31
4,비탈리,수원,5,18,0.28
4,김상훈2,울산,5,20,0.25
8,오주포,전남,4,8,0.5
8,박건하,수원,4,12,0.33
8,정종선,안양LG,4,12,0.33
8,곽경근,부천SK,4,13,0.31
8,이병근,수원,4,14,0.29
8,이을용,부천SK,4,14,0.29
8,김동군,천안,4,15,0.27
8,고정운,포항,4,16,0.25
8,김영선,수원,4,16,0.25
8,뚜레,부산,4,16,0.25
8,무탐바,안양LG,4,16,0.25
8,서혁수,전북,4,16,0.25
8,이싸빅,포항,4,16,0.25
8,김진우,수원,4,17,0.24
8,샤샤2,수원,4,18,0.22
8,이영상,포항,4,18,0.22
