no,name,team,Leave,numOfGame,LeavePerGame
1,최형준,부천SK,2,14,0.14
2,유상철,울산,1,10,0.1
2,변성환,울산,1,14,0.07
2,존,부산,1,16,0.06
2,유병훈,부산,1,20,0.05
2,노상래,대구,1,21,0.05
2,에닝요,수원,1,21,0.05
2,우르모브,수원,1,22,0.05
2,최거룩,전남,1,23,0.04
2,도화성,부산,1,24,0.04
2,김영근,대전,1,26,0.04
2,이길용2,포항,1,26,0.04
2,한정국,대전,1,28,0.04
2,김영선,수원,1,29,0.03
2,남기일,부천SK,1,30,0.03
2,현영민,울산,1,32,0.03
2,끌레베르,울산,1,33,0.03
2,이따마르,전남,1,34,0.03
2,호제리오,대구,1,34,0.03
2,히카르도2,안양LG,1,36,0.03
2,강용,포항,1,37,0.03
2,샤샤2,성남,1,39,0.03
2,에드밀손,전북,1,39,0.03
