이름,출장,교체(in),교체(out),교체(합),GL(전),GL(후),GL(연),GL(합),AS,GK,CK,FC,OC,ST,PK_득,PK_실,PK%,경고,퇴장,실점,자책
김민혁,31,2,4,6,0,3,0,3,8,0,0,53,6,20,0,0,0,4,0,0,0
김영빈,24,0,3,3,0,0,0,0,0,0,0,25,0,3,0,0,0,9,0,0,0
김정현,7,2,4,6,0,1,0,1,0,0,1,14,0,4,1,0,100,3,0,0,0
김진수,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
김진환,5,3,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
박동진,18,8,0,8,0,0,0,0,0,0,0,10,0,2,0,0,0,4,0,0,0
박선홍,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
본즈,10,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,0,0,0
송승민,32,2,0,2,2,2,0,4,1,0,0,55,19,50,0,0,0,2,0,0,0
심광욱,4,3,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
여름,26,1,5,6,1,0,0,1,0,0,9,32,1,22,0,0,0,3,0,0,0
오도현,11,10,0,10,0,2,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0
와다,3,1,2,3,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0
웰링톤,3,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
윤보상,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0
이민기,8,4,1,5,0,1,0,1,0,0,1,5,1,3,0,0,0,1,0,0,0
이으뜸,23,1,7,8,0,0,0,0,4,0,70,21,1,10,0,0,0,7,0,0,0
이종민,17,0,11,11,0,0,0,0,1,0,36,16,1,9,0,0,0,1,0,0,0
이찬동,21,3,4,7,0,0,0,0,0,0,0,46,0,10,0,0,0,7,0,0,0
정동윤,23,8,0,8,0,0,0,0,0,0,1,28,1,5,0,0,0,3,0,0,0
정조국,26,5,9,14,6,10,0,16,1,0,0,33,12,74,5,0,100,4,0,0,0
정호정,22,0,1,1,0,0,0,0,1,0,0,11,0,2,0,0,0,2,0,0,0
조성준,27,11,12,23,0,1,0,1,2,0,10,29,3,20,0,0,0,4,0,0,0
조용태,6,2,4,6,0,0,0,0,1,0,0,5,0,1,0,0,0,1,0,0,0
조주영,14,8,6,14,1,1,0,2,2,0,0,6,4,8,0,0,0,4,0,0,0
주현우,19,7,9,16,1,1,0,2,2,0,2,16,2,16,0,0,0,3,0,0,0
최봉진,16,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,23,0
파비오,14,4,8,12,1,0,0,1,1,0,12,16,1,18,0,0,0,1,0,0,0
홍준호,17,4,1,5,1,0,0,1,0,0,0,22,0,8,0,0,0,4,0,0,1
