이름,출장,교체(in),교체(out),교체(합),GL(전),GL(후),GL(연),GL(합),AS,GK,CK,FC,OC,ST,PK_득,PK_실,PK%,경고,퇴장,실점,자책
권완규,15,3,1,4,0,0,0,0,0,0,0,25,1,12,0,0,0,4,0,0,0
김경민,4,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0
김교빈,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
김다솔,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
김대경,12,6,2,8,0,0,0,0,0,0,4,8,1,3,0,0,0,0,0,0,0
김대중,15,7,0,7,0,1,0,1,0,0,0,5,1,2,0,0,0,2,0,0,0
김도혁,27,3,8,11,2,1,0,3,1,0,30,27,1,33,0,0,0,3,0,0,0
김동석1,10,1,3,4,0,0,0,0,0,0,9,10,0,8,0,0,0,1,0,0,0
김세훈,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
김용환,23,1,2,3,0,1,0,1,2,0,0,24,4,9,0,0,0,4,0,0,0
김태수,23,1,15,16,0,1,0,1,1,0,0,14,0,4,0,0,0,0,0,0,1
박대한,22,2,0,2,0,0,0,0,1,0,0,28,0,4,0,0,0,5,0,0,0
박세직,23,7,5,12,0,3,0,3,0,0,32,22,0,22,1,1,50,2,0,0,0
박종진,7,3,3,6,0,0,0,0,0,0,4,2,0,3,0,0,0,1,0,0,0
배승진,3,0,1,1,0,0,0,0,0,0,0,7,0,1,0,0,0,1,0,0,0
벨코스키,23,2,17,19,3,1,0,4,2,0,27,16,6,33,0,0,0,0,0,0,0
송시우,23,21,2,23,0,4,0,4,1,0,1,14,2,15,0,0,0,3,0,0,0
송제헌,14,7,6,13,2,1,0,3,1,0,0,13,2,12,1,0,100,0,0,0,0
요니치,28,0,0,0,0,0,0,0,0,0,0,20,3,5,0,0,0,6,0,0,0
유재호,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
윤상호,24,3,10,13,0,0,0,0,0,0,2,38,1,12,0,0,0,5,0,0,0
이윤표,20,0,0,0,0,1,0,1,0,0,0,37,1,2,0,0,0,7,0,0,0
이중권,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
이진욱,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
이태희,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0
이현성,7,4,3,7,0,0,0,0,0,0,2,9,1,0,0,0,0,0,0,0,0
이효균,4,1,2,3,0,0,0,0,0,0,0,5,0,2,0,0,0,0,1,0,0
조병국,25,0,5,5,1,0,0,1,2,0,0,16,2,6,0,0,0,4,0,0,0
조수혁,21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,25,0
진성욱,26,16,2,18,0,2,0,2,3,0,0,35,4,20,0,0,0,2,0,0,0
쯔엉,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
최종환,2,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
