이름,출장,교체(in),교체(out),교체(합),GL(전),GL(후),GL(연),GL(합),AS,GK,CK,FC,OC,ST,PK_득,PK_실,PK%,경고,퇴장,실점,자책
강준우1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
곽해성,5,2,0,2,0,1,0,1,1,0,0,1,0,4,0,0,0,1,0,0,0
권순형,31,1,6,7,0,4,0,4,6,0,71,30,0,38,0,0,0,2,0,0,0
권용현,5,3,2,5,0,0,0,0,0,0,0,5,0,2,0,0,0,1,0,0,0
권한진,31,2,2,4,1,4,0,5,1,0,0,30,1,15,0,0,0,5,0,0,0
김경민,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0
김봉래,10,2,0,2,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0
김상원,15,4,3,7,0,0,0,0,1,0,1,24,3,6,0,0,0,5,0,0,0
김선우,4,2,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
김수범,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김재성1,5,3,1,4,0,0,0,0,1,0,0,5,0,2,0,0,0,1,0,0,0
김현,6,4,1,5,0,0,0,0,0,0,0,7,0,8,0,0,0,1,0,0,0
김호남,25,14,10,24,3,3,0,6,2,0,0,10,4,29,0,0,0,1,0,0,0
김호준1,23,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,32,0
까랑가,2,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,1,0,0,0
마르셀로,31,4,12,16,6,4,0,10,8,0,2,20,15,85,3,0,100,1,0,0,0
모이세스,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
문상윤,20,9,8,17,1,2,0,3,2,0,14,11,0,22,0,0,0,0,0,0,0
배재우,14,4,3,7,0,0,0,0,1,0,0,13,0,6,0,0,0,2,0,0,0
백동규,17,5,1,6,0,0,0,0,0,0,0,20,0,4,0,0,0,1,0,0,1
송진형,28,1,4,5,3,4,0,7,4,0,2,16,2,51,0,0,0,2,0,0,0
안현범,22,5,9,14,1,3,0,4,3,0,0,23,8,21,0,0,0,1,0,0,0
오반석,10,0,1,1,0,1,0,1,0,0,0,12,0,3,0,0,0,0,0,0,0
완델손,12,3,6,9,3,0,0,3,3,0,21,16,6,21,1,0,100,0,0,0,0
이광선,29,1,0,1,2,3,0,5,0,0,0,39,3,20,0,0,0,2,0,0,0
이근호,29,5,11,16,1,4,0,5,4,0,0,30,19,46,0,1,0,1,0,0,0
이우진,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이창민,16,9,1,10,0,0,0,0,1,0,5,5,0,26,0,0,0,3,0,0,0
전태현,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
정영총,13,4,10,14,1,0,0,1,0,0,0,5,4,10,0,0,0,0,0,0,0
정운,27,1,2,3,0,1,0,1,5,0,29,27,2,6,0,0,0,3,0,0,0
좌준협,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
헤난,4,3,1,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0
