이름,출장,교체(in),교체(out),교체(합),GL(전),GL(후),GL(연),GL(합),AS,GK,CK,FC,OC,ST,PK_득,PK_실,PK%,경고,퇴장,실점,자책
고무열,18,9,7,16,0,0,0,0,2,0,0,12,3,15,0,0,0,4,0,0,0
권순태,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0
김보경,25,0,4,4,1,3,0,4,6,0,46,25,3,24,0,0,0,3,0,0,1
김신욱,27,19,4,23,1,4,0,5,1,0,0,31,5,42,0,0,0,1,0,0,0
김영찬,10,4,0,4,0,0,0,0,0,0,0,9,2,1,0,0,0,2,0,0,0
김창수,5,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,1,0,0
김태호,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김형일,12,1,0,1,0,0,0,0,0,0,0,19,1,2,0,0,0,4,0,0,0
김효기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
레오나르도,30,13,7,20,4,8,0,12,2,0,65,12,11,80,3,0,100,1,0,0,0
로페즈,29,7,9,16,3,7,0,10,6,0,14,49,10,71,0,0,0,6,0,0,0
루이스1,11,1,8,9,0,3,0,3,2,0,13,9,1,19,0,0,0,0,0,0,0
명준재,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
박원재,14,1,3,4,0,0,0,0,2,0,0,28,1,2,0,0,0,3,0,0,0
서상민,8,5,3,8,0,0,0,0,0,0,0,10,2,3,0,0,0,2,0,0,0
신형민,4,1,0,1,0,0,0,0,0,0,0,6,0,4,0,0,0,1,0,0,0
에두,7,2,5,7,0,0,0,0,0,0,0,9,4,12,0,0,0,1,0,0,0
이동국,22,8,7,15,3,6,0,9,0,0,0,16,7,72,2,0,100,1,0,0,0
이승기,2,1,1,2,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0
이우혁,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
이재성,27,0,1,1,1,1,0,2,8,0,30,32,2,36,0,0,0,6,0,0,0
이종호,20,7,9,16,2,3,0,5,3,0,0,24,4,28,0,0,0,4,0,0,0
이주용,6,1,0,1,0,0,0,0,0,0,0,11,0,7,0,0,0,2,0,0,0
이한도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이호,11,0,5,5,0,0,0,0,0,0,0,22,0,5,0,0,0,3,0,0,0
임종은,23,2,1,3,0,0,0,0,0,0,0,22,1,6,0,0,0,7,0,0,0
장윤호,9,1,3,4,1,0,0,1,2,0,0,25,0,2,0,0,0,6,0,0,0
정혁,2,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0,0,1,0,0,0
조성환,12,0,0,0,1,0,0,1,0,0,0,10,0,2,0,0,0,5,0,0,0
최규백,14,0,0,0,0,1,0,1,0,0,0,19,0,3,0,0,0,8,1,0,0
최동근,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
최재수,12,2,4,6,0,0,0,0,1,0,17,17,1,4,0,0,0,3,0,0,0
최철순,25,0,1,1,0,1,0,1,4,0,0,48,1,5,0,0,0,9,0,0,0
파탈루,2,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
한교원,18,3,4,7,3,1,0,4,0,0,0,24,5,13,0,0,0,5,0,0,0
홍정남,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
