이름,출장,교체(in),교체(out),교체(합),GL(전),GL(후),GL(연),GL(합),AS,GK,CK,FC,OC,ST,PK_득,PK_실,PK%,경고,퇴장,실점,자책
고태원,26,3,1,4,0,0,0,0,1,0,0,34,1,3,0,0,0,6,0,0,0
김경재,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김민식,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
김영욱,27,3,5,8,0,2,0,2,0,0,31,45,0,27,0,0,0,6,0,0,0
김평래,12,3,1,4,0,0,0,0,0,0,1,23,0,6,0,0,0,1,0,0,0
마우링요,7,3,5,8,0,0,0,0,0,0,4,11,1,15,0,0,0,0,0,0,0
박기동,2,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
박준태,2,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
방대종,9,0,4,4,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0
배천석,20,11,3,14,1,2,0,3,3,0,0,9,3,13,0,0,0,3,0,0,0
스테보,14,6,2,8,1,1,0,2,0,0,0,7,2,20,0,1,0,1,0,0,0
안용우,26,4,15,19,2,2,0,4,0,0,33,20,7,29,0,0,0,1,0,0,0
양준아,17,3,3,6,0,2,0,2,0,0,1,27,0,11,0,0,0,6,0,0,0
오르샤,16,0,3,3,4,1,0,5,4,0,46,11,9,44,0,0,0,1,0,0,0
오영준,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유고비치,28,4,6,10,0,3,0,3,3,0,0,20,2,33,0,0,0,3,0,0,0
이슬찬,12,5,1,6,0,0,0,0,1,0,0,14,2,8,0,0,0,3,0,0,0
이지남,25,0,5,5,0,0,0,0,0,0,0,20,0,5,0,0,0,6,0,0,0
이지민,18,6,3,9,1,0,0,1,0,0,4,18,1,9,0,0,0,3,0,0,0
이호승,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27,0
자일,14,2,6,8,3,4,0,7,4,0,3,11,9,46,2,0,100,2,0,0,0
전우영,3,0,2,2,0,0,0,0,0,0,0,8,0,2,0,0,0,1,0,0,0
정석민1,6,0,5,5,0,0,0,0,0,0,0,15,0,5,0,0,0,2,0,0,0
조석재,9,2,7,9,1,0,0,1,0,0,1,3,5,9,0,0,0,1,0,0,0
최효진,26,0,1,1,0,1,0,1,3,0,0,37,0,16,0,0,0,8,0,0,0
토미,15,1,0,1,0,0,0,0,1,0,0,10,3,6,0,0,0,1,0,0,0
한유성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한지원,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한찬희,19,10,4,14,0,1,0,1,1,0,7,9,1,22,0,0,0,2,0,0,0
허용준,22,14,2,16,0,4,0,4,2,0,0,15,6,27,0,0,0,4,0,0,0
현영민,24,2,8,10,0,0,0,0,1,0,10,34,0,4,0,0,0,4,0,0,0
