이름,출장,교체(in),교체(out),교체(합),GL(전),GL(후),GL(연),GL(합),AS,GK,CK,FC,OC,ST,PK_득,PK_실,PK%,경고,퇴장,실점,자책
곽해성,9,2,1,3,0,0,0,0,1,0,1,11,1,2,0,0,0,1,0,0,0
김근배,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
김동준,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,0
김동희,14,11,3,14,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0
김두현,23,6,13,19,0,3,0,3,0,0,45,21,2,19,0,0,0,5,0,0,0
김태윤,29,0,1,1,1,0,0,1,0,0,0,11,1,5,0,0,0,5,0,0,0
김현,9,5,3,8,1,2,0,3,0,0,0,10,0,9,0,0,0,1,0,0,0
박용지,22,7,14,21,1,0,0,1,2,0,0,22,2,10,0,0,0,3,0,0,0
박준혁,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
박진포,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
박태민,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
성봉재,3,2,1,3,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
실빙요,9,1,5,6,1,1,0,2,0,0,1,8,1,18,0,0,0,0,0,0,0
안상현1,19,3,3,6,0,0,0,0,2,0,0,31,0,3,0,0,0,3,0,0,0
연제운,11,1,3,4,1,0,0,1,0,0,0,14,0,4,0,0,0,4,0,0,0
유창현,3,2,1,3,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0
윤영선,16,0,0,0,1,0,0,1,0,0,0,12,0,3,0,0,0,5,0,0,0
이종원,22,4,4,8,0,0,0,0,0,0,2,35,0,14,0,0,0,7,1,0,0
이태희,24,3,0,3,0,1,0,1,3,0,1,21,0,6,0,0,0,3,0,0,0
이후권,8,2,2,4,0,0,0,0,0,0,0,11,0,2,0,0,0,2,0,0,0
임채민,18,3,0,3,0,0,0,0,0,0,0,11,1,8,0,0,0,4,0,0,0
장석원,13,9,1,10,0,0,0,0,0,0,0,5,0,1,0,0,0,2,0,0,0
장학영,29,1,1,2,0,0,0,0,2,0,0,32,0,7,0,0,0,4,0,0,0
전상욱,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
정선호,14,4,5,9,0,1,0,1,1,0,0,8,0,8,0,0,0,0,0,0,0
조재철,17,7,3,10,0,3,0,3,0,0,6,14,2,13,0,0,0,1,0,0,0
최호정,6,4,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
티아고,19,0,8,8,5,8,0,13,5,0,47,16,9,66,1,0,100,0,0,0,0
피투,29,4,12,16,0,2,0,2,7,0,21,15,3,36,0,0,0,3,0,0,0
황의조,32,3,2,5,6,3,0,9,3,0,2,36,39,78,0,1,0,1,0,0,1
