이름,출장,교체(in),교체(out),교체(합),GL(전),GL(후),GL(연),GL(합),AS,GK,CK,FC,OC,ST,PK_득,PK_실,PK%,경고,퇴장,실점,자책
고광민,28,0,0,0,0,1,0,1,2,0,0,32,1,14,0,0,0,4,0,0,0
고요한,22,2,2,4,0,2,0,2,5,0,0,23,4,15,0,0,0,3,0,0,0
곽태휘,5,0,1,1,0,0,0,0,0,0,0,5,0,1,0,0,0,3,0,0,0
김남춘,13,1,1,2,0,0,0,0,0,0,0,13,0,3,0,0,0,2,0,0,0
김동우1,13,1,2,3,0,0,0,0,0,0,0,9,0,3,0,0,0,2,0,0,0
김원식,20,3,4,7,0,0,0,0,0,0,0,19,0,4,0,0,0,2,0,0,0
김정환,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김철호,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김치우,22,6,3,9,0,0,0,0,3,0,6,10,0,2,0,0,0,2,0,0,0
다카하기,26,4,10,14,0,1,0,1,4,0,24,23,1,21,0,0,0,5,0,0,0
데얀,31,4,13,17,5,8,0,13,2,0,0,42,11,104,0,0,0,3,0,0,0
박용우,17,0,5,5,0,0,0,0,0,0,0,22,0,4,0,0,0,3,0,0,0
박주영,28,11,11,22,3,6,0,9,1,0,0,25,4,40,2,0,100,2,0,0,0
신진호,6,1,1,2,0,1,0,1,2,0,16,9,1,8,0,0,0,1,0,0,0
심상민,4,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
심우연1,9,9,0,9,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0
심제혁,5,4,1,5,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0
아드리아노,24,4,9,13,5,8,0,13,5,0,1,20,26,66,4,1,80,2,1,0,0
오스마르,31,0,0,0,3,1,0,4,2,0,0,19,1,31,0,0,0,5,0,0,1
유상훈,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,1
유현,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
윤일록,20,4,7,11,2,1,0,3,6,0,37,21,5,27,0,0,0,1,0,0,0
윤주태,16,14,1,15,0,3,0,3,1,0,0,10,2,27,0,0,0,3,0,0,0
이규로,5,2,3,5,0,0,0,0,0,0,0,5,0,1,0,0,0,2,0,0,0
이상협,3,2,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
이석현,17,6,5,11,0,2,0,2,0,0,4,12,3,16,0,0,0,1,0,0,0
임민혁,3,1,1,2,0,0,0,0,0,0,0,5,1,3,0,0,0,2,0,0,0
정인환,6,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,0,0,0
조찬호,11,6,5,11,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0
주세종,24,4,2,6,1,1,0,2,1,0,46,40,0,35,0,0,0,5,0,0,0
