이름,출장,교체(in),교체(out),교체(합),GL(전),GL(후),GL(연),GL(합),AS,GK,CK,FC,OC,ST,PK_득,PK_실,PK%,경고,퇴장,실점,자책
고승범,12,8,2,10,0,0,0,0,0,0,4,9,0,8,0,0,0,1,0,0,0
고차원,10,1,7,8,0,0,0,0,1,0,0,8,4,10,0,0,0,0,0,0,0
곽광선,16,3,0,3,1,0,0,1,0,0,0,19,0,9,0,0,0,5,0,0,0
곽희주,10,4,3,7,0,1,0,1,0,0,0,12,0,1,0,0,0,3,0,0,0
구자룡,27,0,1,1,1,0,0,1,0,0,0,37,1,5,0,0,0,5,0,0,0
권창훈,21,8,3,11,3,2,0,5,0,0,17,15,2,45,0,0,0,1,0,0,0
김건희,19,6,10,16,1,0,0,1,3,0,0,27,14,23,0,0,0,3,0,0,0
김선우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김종민,9,6,2,8,0,0,0,0,1,0,0,8,7,14,0,0,0,0,0,0,0
김종우,3,2,1,3,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0
노동건,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0
문준호,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
민상기,8,1,2,3,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,1
박현범,8,2,2,4,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0
백지훈,18,8,6,14,0,0,0,0,1,0,0,9,0,15,0,0,0,1,0,0,0
산토스,30,4,12,16,6,5,0,11,3,0,1,26,12,75,1,0,100,0,0,0,0
신세계,20,0,3,3,0,0,0,0,1,0,0,24,2,8,0,0,0,3,0,0,0
양상민,12,1,2,3,0,0,0,0,0,0,0,16,1,7,0,0,0,4,0,0,0
양형모,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
연제민,8,3,1,4,1,0,0,1,0,0,0,7,0,2,0,0,0,1,0,0,0
염기훈,29,5,1,6,1,3,0,4,12,0,97,19,7,43,0,0,0,1,0,0,0
오장은1,7,1,4,5,1,0,0,1,0,0,0,11,0,2,0,0,0,1,0,0,0
이고르,2,2,0,2,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
이상욱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이상호,24,5,8,13,2,1,0,3,2,0,0,25,4,22,0,0,0,2,0,0,0
이용래,11,2,4,6,0,0,0,0,0,0,3,9,0,6,0,0,0,1,0,0,0
이정수,22,3,2,5,1,1,0,2,0,0,0,17,1,8,0,0,0,7,0,0,0
이종성,14,1,1,2,0,0,0,0,1,0,0,19,0,11,0,0,0,5,0,0,0
장현수,1,0,1,1,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0
장호익,12,0,2,2,0,0,0,0,0,0,0,21,0,4,0,0,0,2,0,0,0
조나탄,9,1,4,5,2,2,0,4,2,0,0,11,2,36,0,0,0,3,0,0,0
조동건,20,10,7,17,1,2,0,3,1,0,0,20,14,27,0,0,0,1,0,0,0
조원희,22,4,1,5,0,1,0,1,0,0,0,25,0,15,0,0,0,2,0,0,0
카스텔렌,3,2,1,3,0,0,0,0,0,0,0,2,1,5,0,0,0,1,0,0,0
