이름,출장,교체(in),교체(out),교체(합),GL(전),GL(후),GL(연),GL(합),AS,GK,CK,FC,OC,ST,PK_득,PK_실,PK%,경고,퇴장,실점,자책
권진영,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김대열,7,4,2,6,0,0,0,0,1,0,0,7,0,0,0,0,0,1,0,0,0
김도엽,3,0,2,2,0,1,0,1,0,0,0,1,0,8,0,0,0,1,0,0,0
김성주,6,3,1,4,0,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0
김성준,30,6,6,12,1,1,0,2,0,0,13,29,1,15,1,0,100,3,0,0,0
김성환,23,2,3,5,2,5,0,7,1,0,0,26,1,18,6,0,100,3,0,0,0
김오규,24,0,1,1,0,0,0,0,0,0,0,27,2,13,0,0,0,8,0,0,0
김창훈,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
박기동,25,3,10,13,2,7,0,9,8,0,0,19,27,60,0,0,0,3,0,0,0
박수창1,9,3,4,7,0,0,0,0,0,0,1,9,2,10,0,0,0,1,0,0,0
박준강,6,1,0,1,0,0,0,0,0,0,0,7,0,2,0,0,0,2,0,0,0
박준태,24,8,6,14,3,5,0,8,1,0,5,12,5,40,0,0,0,1,0,0,0
박진포,20,1,1,2,0,0,0,0,1,0,0,24,1,8,0,0,0,3,0,0,0
박희성,9,3,2,5,0,2,0,2,0,0,0,10,3,15,0,0,0,0,0,0,0
배일환,4,0,1,1,0,0,0,0,0,0,0,6,1,9,0,0,0,1,0,0,0
신영준1,12,7,4,11,2,0,0,2,0,0,10,7,0,14,0,0,0,0,0,0,0
신진호,18,5,1,6,0,0,0,0,4,0,73,33,0,27,0,0,0,2,0,0,0
양동원,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
여성해,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
오승훈,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0
유준수,7,2,0,2,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0
윤동민,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
윤영선,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0
윤준성,9,0,1,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0
윤평국,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이경렬,5,2,1,3,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0
이승기,15,3,7,10,0,1,0,1,1,0,25,12,1,13,0,0,0,1,0,0,0
이용,23,1,1,2,1,1,0,2,2,0,0,21,0,10,0,1,0,4,0,0,0
이웅희,20,0,0,0,1,1,0,2,0,0,0,13,0,6,0,0,0,2,0,0,1
이재명,6,1,3,4,0,0,0,0,0,0,0,5,0,2,0,0,0,1,0,0,0
임상협,25,10,9,19,2,6,0,8,3,0,1,14,16,25,1,0,100,3,0,0,0
임성택,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
정준연,5,3,0,3,0,0,0,0,0,0,0,4,0,2,0,0,0,3,0,0,0
제종현,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
조영철,23,10,10,20,1,2,0,3,0,0,0,21,6,28,0,0,0,1,0,0,0
조지훈,7,3,3,6,0,0,0,0,0,0,0,5,0,2,0,0,0,1,0,0,0
최종환,11,4,1,5,0,0,0,0,0,0,0,8,0,1,0,0,0,3,0,0,0
최현태,6,2,4,6,0,0,0,0,0,0,0,5,0,3,0,0,0,1,0,0,0
황순민,2,1,1,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
