이름,출장,교체(in),교체(out),교체(합),GL(전),GL(후),GL(연),GL(합),AS,GK,CK,FC,OC,ST,PK_득,PK_실,PK%,경고,퇴장,실점,자책
강민수,23,6,1,7,0,0,0,0,0,0,0,18,1,4,0,0,0,2,0,0,0
구본상,14,3,4,7,0,0,0,0,0,0,0,21,0,7,0,0,0,1,0,0,0
김건웅,12,7,1,8,0,0,0,0,0,0,0,12,0,8,0,0,0,2,0,0,0
김민규,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김성환,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
김승준,26,6,15,21,2,4,0,6,2,0,0,14,4,26,0,0,0,1,0,0,0
김용대,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,1
김인성,11,8,3,11,0,1,0,1,0,0,0,10,1,6,0,0,0,0,0,0,0
김치곤,11,1,3,4,2,0,0,2,0,0,0,7,0,6,0,0,0,0,0,0,0
김태환,31,0,7,7,3,1,0,4,2,0,2,41,5,20,1,0,100,2,0,0,0
마스다,28,4,1,5,0,0,0,0,1,0,5,33,1,30,0,0,0,5,0,0,0
멘디,14,3,1,4,1,4,0,5,1,0,0,21,13,30,0,0,0,3,0,0,0
박성호,8,4,1,5,1,0,0,1,0,0,0,12,3,7,0,0,0,1,0,0,0
베르나르도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서명원,7,7,0,7,0,0,0,0,0,0,0,3,0,5,0,0,0,1,0,0,0
서정진,9,3,4,7,0,0,0,0,0,0,6,6,2,4,0,0,0,1,0,0,0
셀리오,8,2,0,2,0,1,0,1,0,0,0,11,0,8,0,0,0,4,0,0,0
이기제,29,2,1,3,0,0,0,0,2,0,42,34,1,17,0,0,0,5,0,0,0
이명재,5,1,2,3,0,0,0,0,1,0,0,6,0,2,0,0,0,0,0,0,0
이용,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
이재성,20,0,1,1,1,1,0,2,0,0,0,10,2,9,0,0,0,2,0,0,0
이정협,25,5,16,21,0,4,0,4,1,0,0,20,10,37,0,0,0,4,0,0,0
이창용,16,13,0,13,0,0,0,0,0,0,1,14,0,4,0,0,0,1,0,0,0
장대희,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
장순혁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
정동호,24,3,3,6,0,0,0,0,2,0,0,23,1,6,0,0,0,2,0,0,1
정산,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,13,0
정승현,15,3,1,4,1,0,0,1,0,0,0,20,0,3,0,0,0,3,1,0,0
정재용,7,2,1,3,0,0,0,0,1,0,1,7,0,3,0,0,0,2,0,0,0
정현철,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
코바,31,5,10,15,2,5,0,7,8,0,90,18,29,101,2,0,100,2,0,0,0
하성민,21,6,8,14,1,0,0,1,0,0,0,28,1,5,0,0,0,4,1,0,0
